group_number,media_id,category,media_count,images,videos,caption_prefix
40,3846529697677782265,Jewellery-Sets,1,1,0,Classic._Gold._Bold._A_masterpiece_designed_to_make_every_mo_2026-03-06_DVhnmFYEyz5
41,3845087140594806667,Jewellery-Sets,1,1,0,Like_stars_caught_in_a_golden_web_✨_#jewelhub_#jewelattracti_2026-03-04_DVcfmHZk2-L
42,3843158658377669808,Necklaces,4,4,0,Timeless_design_meets_irresistible_value._Shop_curated_fine_2026-03-01_DVVpHAYEVyw
43,3842640744805527769,Necklaces,1,1,0,Simplicity_is_the_ultimate_sophistication_._✨_#jewelobsessio_2026-02-28_DVTzWXxk3DZ
44,3841826841288012576,Jewellery-Sets,1,1,0,Sparkle_that_speaks_louder_than_words._#jewelcollections_#je_2026-02-27_DVQ6ShDiHMg
45,3840428567709313844,Jewellery-Sets,1,1,0,Timeless_elegance_meets_modern_grace._A_touch_of_emerald_and_2026-02-25_DVL8W9Tk2s0
46,3839671547124576733,Jewellery-Sets,2,2,0,Capturing_the_soul_of_tradition_in_every_intricate_detail_🦋✨_2026-02-24_DVJQO28iPHd
47,3838925497733060696,Necklaces,1,1,0,Make_every_occasion_special_with_our_intricately_designed_Te_2026-02-23_DVGmmaTkZhY
48,3837972253598903751,Necklaces,2,2,0,Timeless_grace_captured_in_gold._This_double-layered_necklac_2026-02-22_DVDN24hkW3H
49,3837505353282561206,Jewellery-Sets,1,1,0,"Carrying_a_piece_of_heritage_in_every_detail._Classic_gold,_2026-02-21_DVBjsluESS2"
50,3836768814986537859,Necklaces,1,1,0,Timeless_elegance_in_every_flutter_✨🤍_#jewelcollections_#Lak_2026-02-20_DU-8Oi-kauD
51,3836040266260182963,Necklaces,1,1,0,"Grace_in_every_detail,_A_double-layered_masterpiece_designed_2026-02-19_DU8WkxGiHez"
52,3835346825235343377,Jewellery-Sets,1,1,0,Timeless_elegance_in_every_link._Embracing_the_divine_beauty_2026-02-18_DU54530kygR
53,3834592816077557669,Jewellery-Sets,1,1,0,"Own_the_glow,_Shop_our_latest_traditional_collection_🌞🦚_#Gol_2026-02-17_DU3NdmEkU-l"
54,3833096628727826625,Jewellery-Sets,1,1,0,"Lakshmi's_grace,_in_every_sparkle_✨_#LakshmiJewels_#jewelobs_2026-02-15_DUx5RNBEcjB"
55,3832470317898636576,Jewellery-Sets,1,1,0,"Grace_in_every_feather,_royalty_in_every_detail🦚🤍_#jewelobse_2026-02-14_DUvq3Lmk50g"
56,3831732027692121226,Necklaces,1,1,0,"-_Dazzle_with_a_story,_shine_with_elegance_✨_#jewelcollectio_2026-02-13_DUtC_pRE3yK"
57,3831016615325190248,Necklaces,1,1,0,"Keeping_it_simple,_but_significant🪩_#jewelwholesaleinindia_#_2026-02-12_DUqgVBlE8ho"
58,3830243936070374360,Jewellery-Sets,1,1,0,"Adorned_with_moments,_shining_bright_🪩🪽_#jewelcollections_#j_2026-02-11_DUnwpD8kZPY"
59,3829539586423586893,Jewellery-Sets,1,1,0,A_fusion_of_traditional_artistry_and_modern_grace🌞_#Traditio_2026-02-10_DUlQfbOEwBN
60,3828764925402091301,Necklaces,1,1,0,​_Attigai_Because_some_classics_never_go_out_of_style._#Trad_2026-02-09_DUigWn7EQ8l
61,3827335567911237210,Jewellery-Sets,1,1,0,"Wear_your_moments,_wear_your_jewels_🤍🪽_#uniquedesign_#unique_2026-02-07_DUdbWvBkTZa"
62,3826640876312197141,Chains,1,1,0,Invisible_chains_just_starts_at_89_-_only💗_Shine_Bright🤍🌛_#j_2026-02-06_DUa9ZpDk_gV
63,3825514549173516151,Jewellery-Sets,1,1,0,"Timeless_elegance,_woven_with_tradition_✨_Dm_for_price_detai_2026-02-05_DUW9TbKk3d3"
64,3823725941869350593,Jewellery-Sets,1,1,0,Shine_on!_✨_#JewelryLover_#jewelcollections_#thegirlhouse_#j_2026-02-02_DUQmnwzkY7B
65,3822326582888071119,Necklaces,5,5,0,"Invisible_threads,_unforgettable_sparkle_✨_DM_for_price_deta_2026-01-31_DULocaMk3_P"
66,3821551117306824204,Jewellery-Sets,1,1,0,Shine_bright_with_pieces_that_make_a_statement_💎_#StylishJew_2026-01-30_DUI4H5mEgYM
67,3820813719270667929,Jewellery-Sets,1,1,0,"You_are_precious,_wear_precious_jewelry_🪄_#jewellove_#jewelr_2026-01-29_DUGQdWKETaZ"
68,3820128058385583655,Jewellery-Sets,1,1,0,Classic_pieces_never_go_out_of_style_✨_Style_with_#thegirlho_2026-01-28_DUD0jqsk04n
69,3819396028286720600,Jewellery-Sets,1,1,0,Own_original_picture_quality_updated_from_Thegirlho_se🤎_#fas_2026-01-27_DUBOHOikVpY
70,3818521054562814590,Necklaces,2,2,0,"Shining_bright,_just_like_jewels✨_📥DM_to_order_fast_shipping_2026-01-26_DT-HKrwkQp-"
71,3816504180358607578,Necklaces,1,1,0,JUST_A_GIRL_and_HER_JEWELRY_Unstoppable_Duo✨_2026-01-23_DT28lTSEXLa
72,3814348217061172655,Review-Excluded,1,1,0,Stay_Tuned!_#🤎_2026-01-20_DTvSX5_k2Wv
